Time Real

0 0
1024 0.0659197
2048 0.0487041
3072 0.10106
4096 0.13298
5120 0.160308
6144 0.177729
7168 0.190448
8192 0.202451
9216 0.22222
10240 0.243505
11264 0.246656
12288 0.266532
13312 0.260125
14336 0.310085
15360 0.303892
16384 0.314758
17408 0.35708
18432 0.330516
19456 0.351159
20480 0.347572
21504 0.384764
22528 0.413027
23552 0.355485
24576 0.411039
25600 0.396342
26624 0.439292
27648 0.434112
28672 0.407706
29696 0.445347
30720 0.471071
31744 0.498821
32768 0.48669
33792 0.475727
34816 0.512374
35840 0.467125
36864 0.482208
37888 0.525888
38912 0.499404
39936 0.545688
40960 0.547423
41984 0.551785
43008 0.562853
44032 0.55332
45056 0.566073
46080 0.557373
47104 0.613441
48128 0.622557
49152 0.606696
50176 0.571926
51200 0.589365
52224 0.605202
53248 0.593278
54272 0.603463
55296 0.643083
56320 0.670418
57344 0.647346
58368 0.62771
59392 0.631647
60416 0.668262
61440 0.644867
62464 0.665456
63488 0.641955
64512 0.714735
65536 0.667584
66560 0.665661
67584 0.657033
68608 0.658513
69632 0.664358
70656 0.691665
71680 0.716717
72704 0.69013
73728 0.722734
74752 0.692572
75776 0.692698
76800 0.736963
77824 0.721697
78848 0.708399
79872 0.722182
80896 0.719519
81920 0.746558
82944 0.738585
83968 0.721818
84992 0.726772
86016 0.751609
87040 0.733853
88064 0.714405
89088 0.755676
90112 0.757072
91136 0.748346
92160 0.764123
93184 0.74909
94208 0.792929
95232 0.769426
96256 0.746797
97280 0.734032
98304 0.785325
99328 0.741155
100352 0.804803
101376 0.741332
102400 0.742961
103424 0.769333
104448 0.805599
105472 0.775715
106496 0.790145
107520 0.777618
108544 0.77802
109568 0.782107
110592 0.780854
111616 0.816225
112640 0.805767
113664 0.782683
114688 0.826873
115712 0.786095
116736 0.791867
117760 0.799038
118784 0.7883
119808 0.796094
120832 0.812246
121856 0.816523
122880 0.828987
123904 0.8235
124928 0.830745
125952 0.810465
126976 0.809523
128000 0.805488
129024 0.862791
130048 0.805115
131072 0.847322
132096 0.843874
133120 0.810226
134144 0.869366
135168 0.833452
136192 0.817484
137216 0.815333
138240 0.800327
139264 0.815479
140288 0.878852
141312 0.836477
142336 0.814643
143360 0.818949
144384 0.86564
145408 0.859663
146432 0.854602
147456 0.88864
148480 0.837144
149504 0.868982
150528 0.86068
151552 0.87091
152576 0.859716
153600 0.835701
154624 0.876111
155648 0.849406
156672 0.852422
157696 0.850349
158720 0.87528
159744 0.900848
160768 0.857631
161792 0.864278
162816 0.858819
163840 0.834322
164864 0.861283
165888 0.893264
166912 0.876932
167936 0.840591
168960 0.832864
169984 0.841664
171008 0.851442
172032 0.878199
173056 0.872891
174080 0.852014
175104 0.878149
176128 0.860393
177152 0.887725
178176 0.872616
179200 0.847616
180224 0.884392
181248 0.884921
182272 0.889669
183296 0.859687
184320 0.855135
185344 0.889126
186368 0.859827
187392 0.894271
188416 0.916579
189440 0.899452
190464 0.868627
191488 0.886708
192512 0.901462
193536 0.873942
194560 0.839646
195584 0.912426
196608 0.898648
197632 0.889197
198656 0.877704
199680 0.84707
200704 0.8598
201728 0.852184
202752 0.902464
203776 0.860417
204800 0.879913
205824 0.904999
206848 0.878038
207872 0.891696
208896 0.877902
209920 0.893374
210944 0.881512
211968 0.900094
212992 0.908067
214016 0.925704
215040 0.861948
216064 0.891909
217088 0.869329
218112 0.893298
219136 0.909216
220160 0.883855
221184 0.909586
222208 0.871889
223232 0.919875
224256 0.901324
225280 0.908286
226304 0.919094
227328 0.870026
228352 0.943779
229376 0.906678
230400 0.896318
231424 0.859177
232448 0.913965
233472 0.886047
234496 0.89249
235520 0.881479
236544 0.883035
237568 0.896875
238592 0.889212
239616 0.915179
240640 0.90655
241664 0.938838
242688 0.883035
243712 0.901194
244736 0.898035
245760 0.851075
246784 0.913624
247808 0.89592
248832 0.920372
249856 0.929416
250880 0.894801
251904 0.893287
252928 0.866629
253952 0.883386
254976 0.896389
256000 0.896378
257024 0.919903
258048 0.900964
259072 0.886203
260096 0.9409
261120 0.887768
262144 0.889558
263168 0.925301
264192 0.931664
265216 0.91337
266240 0.902751
267264 0.879976
268288 0.921179
269312 0.892072
270336 0.899139
271360 0.870223
272384 0.921222
273408 0.921753
274432 0.909024
275456 0.902271
276480 0.911641
277504 0.911191
278528 0.883903
