Time Real

0 0
262144 0.166204
524288 0.222876
786432 0.272741
1.04858e+06 0.307076
1.31072e+06 0.339931
1.57286e+06 0.38014
1.83501e+06 0.403363
2.09715e+06 0.438743
2.3593e+06 0.452387
2.62144e+06 0.460673
2.88358e+06 0.47418
3.14573e+06 0.501097
3.40787e+06 0.526815
3.67002e+06 0.534262
3.93216e+06 0.547859
4.1943e+06 0.559628
4.45645e+06 0.566736
4.71859e+06 0.586756
4.98074e+06 0.587037
5.24288e+06 0.601138
5.50502e+06 0.608737
5.76717e+06 0.624537
6.02931e+06 0.63509
6.29146e+06 0.639605
6.5536e+06 0.653049
6.81574e+06 0.668179
7.07789e+06 0.659176
7.34003e+06 0.667065
7.60218e+06 0.66573
7.86432e+06 0.686445
8.12646e+06 0.691968
8.38861e+06 0.69992
8.65075e+06 0.696511
8.9129e+06 0.726804
9.17504e+06 0.699878
9.43718e+06 0.72518
9.69933e+06 0.729451
9.96147e+06 0.727589
1.02236e+07 0.740432
1.04858e+07 0.73695
1.07479e+07 0.748806
1.101e+07 0.765741
1.12722e+07 0.76413
1.15343e+07 0.770907
1.17965e+07 0.776545
1.20586e+07 0.772468
1.23208e+07 0.766227
1.25829e+07 0.774656
1.28451e+07 0.772717
1.31072e+07 0.790452
1.33693e+07 0.785812
1.36315e+07 0.790949
1.38936e+07 0.79133
1.41558e+07 0.801935
1.44179e+07 0.809871
1.46801e+07 0.813267
1.49422e+07 0.816358
1.52044e+07 0.814798
1.54665e+07 0.809549
1.57286e+07 0.816924
1.59908e+07 0.812872
1.62529e+07 0.816417
1.65151e+07 0.816873
1.67772e+07 0.83259
1.70394e+07 0.823938
1.73015e+07 0.830423
1.75636e+07 0.838409
1.78258e+07 0.843873
1.80879e+07 0.845963
1.83501e+07 0.840965
1.86122e+07 0.851828
1.88744e+07 0.843622
1.91365e+07 0.855246
1.93987e+07 0.857094
1.96608e+07 0.859777
1.99229e+07 0.854369
2.01851e+07 0.855463
2.04472e+07 0.858349
2.07094e+07 0.86497
2.09715e+07 0.862031
2.12337e+07 0.867368
2.14958e+07 0.868808
2.1758e+07 0.873472
2.20201e+07 0.884521
2.22822e+07 0.877557
2.25444e+07 0.869743
2.28065e+07 0.882155
2.30687e+07 0.885091
2.33308e+07 0.885165
2.3593e+07 0.885532
2.38551e+07 0.882122
2.41172e+07 0.892451
2.43794e+07 0.88904
2.46415e+07 0.893139
2.49037e+07 0.896382
2.51658e+07 0.887391
2.5428e+07 0.894522
2.56901e+07 0.898821
2.59523e+07 0.89181
2.62144e+07 0.898308
2.64765e+07 0.907501
2.67387e+07 0.893589
2.70008e+07 0.899826
2.7263e+07 0.90836
2.75251e+07 0.897753
2.77873e+07 0.904264
2.80494e+07 0.908753
2.83116e+07 0.911274
2.85737e+07 0.916328
2.88358e+07 0.909856
2.9098e+07 0.916864
2.93601e+07 0.908648
2.96223e+07 0.921844
2.98844e+07 0.921964
3.01466e+07 0.91303
3.04087e+07 0.920314
3.06708e+07 0.911204
3.0933e+07 0.920772
3.11951e+07 0.918847
3.14573e+07 0.916089
3.17194e+07 0.915344
3.19816e+07 0.917954
3.22437e+07 0.915554
3.25059e+07 0.936414
3.2768e+07 0.93397
3.30301e+07 0.933917
3.32923e+07 0.933718
3.35544e+07 0.935952
3.38166e+07 0.936145
3.40787e+07 0.928006
3.43409e+07 0.927749
3.4603e+07 0.931098
3.48652e+07 0.929805
3.51273e+07 0.935447
3.53894e+07 0.930743
3.56516e+07 0.939069
3.59137e+07 0.947674
3.61759e+07 0.943538
3.6438e+07 0.942687
3.67002e+07 0.937812
3.69623e+07 0.951382
3.72244e+07 0.945256
3.74866e+07 0.941475
3.77487e+07 0.948785
3.80109e+07 0.950908
3.8273e+07 0.949195
3.85352e+07 0.955376
3.87973e+07 0.937477
3.90595e+07 0.944881
3.93216e+07 0.945335
3.95837e+07 0.943189
3.98459e+07 0.950897
4.0108e+07 0.949451
4.03702e+07 0.951216
4.06323e+07 0.951824
4.08945e+07 0.956347
4.11566e+07 0.96347
4.14188e+07 0.95981
4.16809e+07 0.958243
4.1943e+07 0.952261
4.22052e+07 0.953653
4.24673e+07 0.965087
4.27295e+07 0.956215
4.29916e+07 0.963447
4.32538e+07 0.957695
4.35159e+07 0.964083
4.3778e+07 0.960522
4.40402e+07 0.973898
4.43023e+07 0.963978
